,station_id,road_id,km,name,longitude,latitude,altitude,timezone
0,103,7,80,"км 80+000 а/д М-4 ""Дон""",55.27888888888901,38.4925,0,3
1,104,54,47,"км 47+000 а/д М-5 ""Урал""",55.491666666667,38.157222222222,0,3
2,105,54,28,"км 28+000 а/д М-5 ""Урал""",55.605555555556,37.978888888889,0,3
3,106,54,1369,"км 1369+260 а/д М-5 ""Урал""",54.644466666667,54.545,188,3
4,107,54,1401,"км 1401+900 а/д М-5 ""Урал""",54.730047,55.011639,129,3
5,108,55,1304,"км 1304+500 а/д М-7 ""Волга""",54.9725,55.57575,84,4
6,109,55,1223,"км 1223+500 а/д М-7 ""Волга""",55.4408802,54.7191578,76,3
7,110,55,1178,"км 1178+600 а/д М-7 ""Волга""",55.46737,54.0578,0,4
8,111,54,1221,"км 1221+745 а/д М-5 ""Урал""",54.214,52.714,267,4
9,112,54,1201,"км 1201+970 а/д М-5 ""Урал""",54.103,52.489,151,3
10,113,54,1296,"км 1296+046 а/д М-5 ""Урал""",54.447,53.603,247,3
11,114,54,1270,"км 1270+930 а/д М-5 ""Урал""",54.458,53.278,199,3
12,115,54,1438,"км 1438+400 а/д М-5 ""Урал""",54.646,55.546,90,3
13,116,54,1532,"км 1532+200 а/д М-5 ""Урал""",54.825,56.891,135,3
14,117,60,47,км 47+100 а/д Р-240 Уфа-Оренбург,54.31,55.883,117,3
15,118,60,206,км 206+965 а/д Р-240 Уфа-Оренбург,52.9615667,55.8888833,211,3
16,119,60,312,км 312+700 а/д Р-240 Уфа-Оренбург,52.209,55.322,0,3
17,120,54,1563,"км 1563+575 а/д М-5 ""Урал""",54.906,57.347,193,4
18,121,54,1592,"км 1592+600 а/д М-5 ""Урал""",54.995,57.713,339,4
19,122,54,1607,"км 1607+990 а/д М-5 ""Урал""",54.917,57.924,400,4
20,123,54,1679,"км 1679+800 а/д М-5 ""Урал""",54.933,58.9,739,4
21,124,54,1717,"км 1717+250 а/д М-5 ""Урал""",55.111,59.324,480,4
22,125,54,1736,"км 1736+930 а/д М-5 ""Урал""",55.124,59.593,809,4
23,126,54,1780,"км 1780+200 а/д М-5 ""Урал""",54.944,60.07,367,4
24,127,54,1799,"км 1799+085 а/д М-5 ""Урал""",54.916,60.354,330,4
25,128,54,1821,"км 1821+400 а/д М-5 ""Урал""",54.923,60.702,320,4
26,129,54,1858,"км 1858+585 а/д М-5 ""Урал""",55.01143987556943,61.260135769844055,266,4
